material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1032795;JASPER ZIONIC WP;BLACK/BLACK;MEN;;JASPER ZIONIC WP M-BLACK/BLACK;433;0;0
1031866;JASPER ZIONIC;THISTLE/BIRCH;WOMEN;;JASPER ZIONIC W-THISTLE/BIRCH;432;0;0
1032293;HIGHTRAIL MID WP;WARM TAUPE/BIRCH;WOMEN;;HIGHTRAIL MID WP W-WARM TAUPE/BIRCH;431;0;0
1033305;TARGHEE IV MID WP WIDE;PLAZA TAUPE/HUCKLEBERRY;WOMEN;;TARGHEE IV MID WP WIDE W-PLAZA TAUPE/HUC;429;0;0
1032850;JASPER MERKO;STEEL GREY/VAPOR;WOMEN;;JASPER MERKO W-STEEL GREY/VAPOR;428;0;0
1029594;KS86;DARK FOREST/STAR WHITE;WOMEN;;KS86 W-DARK FOREST/STAR WHITE;428;0;0
1032556;JASPER MERKO;BLACK/BLACK;WOMEN;;JASPER MERKO W-BLACK/BLACK;426;0;0
1031166;ANCHORAGE BOOT IV WP;DARK EARTH/BLACK;MEN;;ANCHORAGE BOOT IV WP M-DARK EARTH/BLACK;423;0;0
1032616;HOWSER III SLIDE;FRONTIER FLANNEL RED;WOMEN;;HOWSER III SLIDE W-FRONTIER FLANNEL RED;423;0;0
1033033;WHISPER;BLACK/BLACK;WOMEN;;WHISPER W-BLACK/BLACK;422;0;0
1032588;TARGHEE II MID WP;BLACK OLIVE/CHIPMUNK;MEN;;TARGHEE II MID WP M-BLACK OLIVE/CHIPMUNK;421;0;0
1032768;TARGHEE APEX WP;JAVA/DARK EARTH;MEN;;TARGHEE APEX WP M-JAVA/DARK EARTH;419;0;0
1030691;TARGHEE IV WP;SEA TURTLE/ROASTED PECAN;MEN;;TARGHEE IV WP M-SEA TURTLE/ROASTED PECAN;418;0;0
1023997;HOWSER II;TRIPLE BLACK;MEN;;HOWSER II M-TRIPLE BLACK;415;3;0
1032667;JASPER ZIONIC;KHAKI/ABBEY STONE;WOMEN;;JASPER ZIONIC W-KHAKI/ABBEY STONE;414;0;0
1032783;UNEEK TREKKER;BLACK/KEEN MAPLE;MEN;;UNEEK TREKKER M-BLACK/KEEN MAPLE;414;0;0
1023981;HOWSER II;TRIPLE BLACK;WOMEN;;HOWSER II W-TRIPLE BLACK;413;0;0
1032224;BALI TG LTR;BLACK/BLACK;WOMEN;;BALI TG LTR W-BLACK/BLACK;411;0;0
1033032;WHISPER;SAFARI/BIRCH;WOMEN;;WHISPER W-SAFARI/BIRCH;408;0;0
1031169;GRETA BOOT II WP;BISON;WOMEN;;GRETA BOOT II WP W-BISON;406;0;0
1031040;HOWSER III SLIDE;BRINDLE/BRINDLE SHERPA FLEECE;WOMEN;;HOWSER III SLIDE W-BRINDLE/BRINDLE SHERP;406;0;0
1032785;UNEEK TREKKER;SAFARI/MEDITERRANEA;MEN;;UNEEK TREKKER M-SAFARI/MEDITERRANEA;406;0;0
1033306;TARGHEE APEX WP WIDE;BRINDLE/CANTEEN;MEN;;TARGHEE APEX WP WIDE M-BRINDLE/CANTEEN;405;0;0
1029731;HOWSER II;BIRCH/CURRY;WOMEN;;HOWSER II W-BIRCH/CURRY;404;0;0
1028998;TARGHEE IV VENT;BISON/GOLDEN YELLOW;MEN;;TARGHEE IV VENT M-BISON/GOLDEN YELLOW;402;0;0
1031842;HIGHTRAIL WP;FOREST NIGHT/DARK OLIVE;MEN;;HIGHTRAIL WP M-FOREST NIGHT/DARK OLIVE;398;5;0
1032849;JASPER MERKO;STEEL GREY/VAPOR;MEN;;JASPER MERKO M-STEEL GREY/VAPOR;398;0;0
1031863;JASPER ZIONIC;MEDITERRANEA/PALE LILAC;WOMEN;;JASPER ZIONIC W-MEDITERRANEA/PALE LILAC;395;0;0
1032613;HOWSER III SLIDE;BLACK QUILTED;WOMEN;;HOWSER III SLIDE W-BLACK QUILTED;390;0;0
1031150;KOSA CHELSEA;BISON/BLACK;WOMEN;;KOSA CHELSEA W-BISON/BLACK;390;0;0
